Program;search (criteria);selection (styles);metadata;adjust image (functions);hotkeys;color management (ICC);JPEG Lossless operations;Unicode support;other / special;
ACDSee;Yes;Yes individual, linear, block;Yes Exif, IPTC;Yes many;Yes;Yes;Yes rotation only;Yes;GPS Location, Scripts for batch/pre processing, automatic slideshow;
CDisplay;No;No;Yes;Yes Rotate, Filter;Yes configurable;Yes;No;No;Slider, automatic slideshow, mouse control;
Comix;No;No;;Yes Rotate, Filter;;;;;Slider, automatic slideshow, mouse control;
digiKam;Yes file name, comments, most Exif and meta data;Yes linear, block, complex;Yes Exif and IPTC;Yes many editing function;Yes;Yes;Yes in 90° steps;Yes;Geotagging, batch processing, detect duplicate/similar images, export to Internet/social media/HTML;
Eye of gnome;No;No;Yes;Yes Rotate;Yes unconfigurable;;Yes;;;
F-Spot;;;Yes;;;;;;Export to HTML, Flickr, or O.r.i.g.i.n.a.l.;
FastPictureViewer;Yes Filter the view by rating, file name...;Yes Copy, move, delete, rate, label;Yes Write XMP Rating/Label, IPTC metadata, Windows Rating, embedded or in sidecar files, shows shooting info (Exif) and realtime RGB histogram;No;Yes;Yes (supports custom monitor profile, direct conversion from image colorspace to monitor colorspace, ICC v4);n/a;Yes, native;Native 32 and 64-bit, Tethered shooting (MTP/PTP over USB), Multicore-aware, DirectX accelerated, HD Photo / JPEG XR support.;
Gonvisor;No;Yes Delete, rename;No;Yes;Yes;Yes;n/a;Yes, native;Made to easily read comics or manga can display two pages at time and view images in compressed ZIP, RAR, 7z, cbr, cba, cbz etc.;
FastStone Image Viewer;;Yes individual, linear;Partial JPEG comment;Yes many;;;Yes lossless transitions;Yes;;
Geeqie;Yes collections, keywords, filename, location, size, date, dimensions, comments, previous results;Yes block, linear, complex;Yes;Yes rotate, brightness, contrast;Yes;Yes;;;find duplicates, sort manager, recent collections;
gThumb;Yes name, comment, date, category, folder, recursive-folder;Yes linear, block, complex;Partial;Yes manipulate color, flip/rotate, etc.;Yes;;Yes;;bookmarks, comments, rename series, create index image, create HTML album;
Gwenview;Yes tags;;Yes Exif, IPTC, XMP;Yes Rotate, Red eye removal, saturation, color balance, levels and more;Yes;;Yes;Yes;batch processing, export to Internet/social media/HTML;
KPhotoAlbum;Yes keywords, comments, title, any field from Exif metadata;Yes linear, complex;Partial;Yes per KIPI plugins;Yes configurable;;;;Quick-tagging using keyboard tokens;
Phase One Media Pro;Yes name, date, rating, file size, and many more.;Yes individual, linear;Yes EXIF, IPTC, and custom keywords;Yes Rotate, Red eye removal, saturation, color balance, levels and more;Yes;Yes;;Yes;Find duplicates, hierarchical keywords, distributable catalog with free Media Pro reader, offline browsing of images;
Picasa;Yes name, date, rating, faces;Yes individual, linear;Partial Keywords;Partial basic;Yes;Yes;Yes rotation only;Yes;collages, Geotagging, Search for Faces, find duplicates;
ResourceSpace;Yes;Yes;Yes Exif, IPTC, user defined;Yes rotate, gamma;No;;;;;
Shotwell;No;Yes individual, linear, hide;Yes Read IPTC, Exif, XMP;Yes Exposure, Saturation, Tint, Shadows, Temperature, and more;Yes;No;No;Yes;Non-destructive editor, Auto Enhance Images, Duplicate, Upload, Favorite;
Simple Comic;No;;No;Yes rotate;Yes;;;;capture page, remove page, set icon;
STDU Viewer;No;No;No;No;Yes;No;No;Yes;;
Windows Photo Viewer;No;No;Yes: Exif;Yes rotate, lossless JPEG rotate, annotate TIFF images;Yes;;Yes rotate only;Yes;;
XnView and XnViewMP;Yes name, date, file size, image size, meta data, ...;Yes individual, linear;Yes IPTC, Exif, JPEG comment;Yes many;Yes configurable;Yes Custom monitor profile supported;Yes;Partial Supported in XnViewMP;Supports Adobe Photoshop Filter 8BF plugins;
xv;No;Partial individual, all;Partial view comments;Yes many;Yes;;;;;
Zoner Photo Studio;Yes name, date, file size, meta data;Yes individual, linear;Yes IPTC, Exif, XMP, JPEG comment;Yes very many;Yes configurable;Yes;Yes;Yes;sign images, 16 bits per channel, GPS support, merge pictures to HDR, WIC codecs support;
Program;search (criteria);selection (styles);metadata;adjust image (functions);hotkeys;color management (ICC);JPEG Lossless operations;Unicode support;other / special;
