Model;Material;Color;Width;Height;Depth;Mass;Photo;
Mac Mini[1];Aluminum;Silver;19.7 cm / 7.7 in;3.6 cm / 1.4 in;19.7 cm / 7.7 in;1.18 kg / 2.6 lb;;
iMac 21.5 in[2];Aluminum;Silver, black border around screen;52.8 cm / 20.8 in;44.9 cm / 17.7 in;17.5 cm / 6.9 in;5.7 kg / 12.5 lb;;
iMac 21.5 in Retina Display[2];
iMac 27 in[2];65.0 cm / 25.6 in;51.6 cm / 20.3 in;20.3 cm / 8.0 in;9.54 kg / 21.0 lb;
Mac Pro[3];Aluminum;Black;16.8 cm / 6.6 in;25.2 cm / 9.9 in;16.8 cm / 6.6 in;5.0 kg / 11.0 lb;;
MacBook Air[4];Aluminum;Silver;32.5 cm / 12.8 in;0.3-1.7 cm / 0.11-0.68 in;22.7 cm / 8.94 in;1.35 kg / 2.9 lb;;
MacBook;Aluminum;Silver, Gold, Space Gray, or Rose Gold with black border around screen;28.05 cm / 11.04 in;0.35-1.31 cm / 0.14-0.52 in;19.65 cm / 7.74 in;0.92 kg / 2.03 lb;;
MacBook Pro 13 in (2016)[6];Aluminum;Silver or Space Gray with black border around screen;30.41 cm / 11.97 in;1.49 cm / 0.59 in;21.24 cm / 8.36 in;1.37 kg / 3.02 lb;
MacBook Pro 15 in (2016)[6];Aluminum;Silver or Space Gray with black border around screen;34.93 cm / 13.75 in;1.55 cm / 0.61 in;24.07 cm / 9.48 in;1.83 kg / 4.02 lb;
MacBook Pro 13 in (2015)[6];Aluminum;Silver with black border around screen;31.4 cm / 12.35 in;1.8 cm / 0.71 in;21.9 cm / 8.62 in;1.58 kg / 3.48 lb;
MacBook Pro 15 in (2015)[6];Aluminum;Silver with black border around screen;35.89 cm / 14.13 in;1.8 cm / 0.71 in;24.71 cm / 9.73 in;2.04 kg / 4.49 lb;
