System;Form based;Public key cryptography;Two-factor;OpenID;OAuth;LDAP;Shibboleth;Others;
Apache Bloodhound;Yes;Optional[79];No;Optional[80];No;Yes;Unknown;No;
Assembla Tickets;Yes;No;No;Yes;Yes;Yes (private version);Unknown;Unknown;
Axosoft;Yes;No;No;No;No;Yes;No;No;
Bugzilla;Yes;No;No;Optional[81];No;Yes;Unknown;No;
Debbugs;No;No;No;No;No;No;No;No;
Faveo Helpdesk;Yes;No;No;No;Yes;Yes;No;No;
FogBugz;Yes;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;
Fossil;Unknown;Unknown;Unknown;Unknown;Unknown;No;Unknown;Unknown;
FusionForge;Yes;No;No;Yes;No;Yes;No;Yes, CAS;
GLPI;Yes;No;Yes;No;No;Yes;No;No;
GNATS;Unknown;Unknown;Unknown;Unknown;Unknown;No;Unknown;Unknown;
HP Quality Center;No;No;No;No;No;Yes;No;Unknown;
IBM Rational ClearQuest;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;
Jira;Yes;No;No;Yes;Yes;Yes;Yes, via plugin[82][83];Yes, via Crowd[84];
Liberum Help Desk;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;
MantisBT;Yes;No;No;Yes[85];Yes[86];Yes;Unknown;No;
Microsoft Dynamics CRM;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;
org-mode;Unknown;Unknown;Unknown;Unknown;Unknown;No;Unknown;Unknown;
OTRS;Yes;Yes;Yes;Unknown;Unknown;Yes;Unknown;Unknown;
Phabricator;Yes;No;Yes;No;Yes;Yes;No;No;
Pivotal Tracker;Yes;No;No;Yes, Google Account;No;No;No;No;
Redmine;Yes;Yes[87];No;Yes[88];No;Yes;Yes, via Apache (using mod_rails);No;
Request Tracker;Yes;Unknown;Unknown;Yes[89];Unknown;Yes[90];Unknown;Yes[91];
Roundup;Yes;Unknown;Unknown;Yes[92];Unknown;Yes;Yes[93];Yes[94];
StarTeam;Unknown;Unknown;Unknown;Unknown;Unknown;No;Unknown;Unknown;
Supportworks;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;
SysAid;Yes;No;No;No;No;Yes;No;Yes, CAS;
Team Foundation Server;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;
TestTrack;Yes;Optional;No;No;No;Yes;No;Yes - custom DLL;
The Bug Genie;Yes;No;No;Yes[80];No;Yes;No;No;
Trac;Yes;Optional[79];No;Optional[80];No;Yes;Unknown;No;
TrackerSuite.Net;Yes;No;No;No;No;Yes;No;No;
Tuleap;Yes;No;No;Yes;Yes;Yes;No;No;
Twproject;Yes;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Yes, Simple container auth.;
Usersnap;Yes;No;No;No;No;No;No;No;
Wrike;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;
YouTrack;Yes;No;No;Yes;No;Yes;Unknown;Yes: JIRA account;
System;Form based;Public key cryptography;Two-factor;OpenID;OAuth;LDAP;Shibboleth;Others;
