;Version;Operating systems;Office suite;Developer;License;ECMA-376;ISO/IEC 29500:2008;Notes;
AbiWord;2.6.0,[7] 2.6.5[8];Windows, Mac OS X, Linux, Unix;;AbiSource;GPL;Yes;;;
Adobe Buzzword;beta 3, build 600113[9];Web application;Standalone;Adobe Systems;Proprietary;Yes;;Limited support;
Atlantis Word Processor;1.6.3+[10];Windows;Standalone;Rising Sun Solutions;Proprietary;Yes;;;
Butler Office Pro X;2.2.0[11];Mac OS X;Butler Office Pro X;Butler Software Solutions;Proprietary;Yes;;Full support via email;
DataViz Word To Go;11.000[12];Palm OS, Windows Mobile, Symbian (UIQ, S80);Documents To Go;DataViz;Proprietary;Yes;;;
EIOffice Word Processor;2009, 5.0.1272.101[13];Windows, Linux;EIOffice;Evermore Software;Proprietary;Yes;;Import only[13];
Go-oo Writer;3.0.0[14];Windows, Linux, Unix, Mac OS X;Go-oo;Free software community;LGPL, CDDL;Yes;;Import only Go-oo discontinued in favour of LibreOffice;
Google Docs;(current)[15];Web application;Google Docs;Google;Proprietary;Yes;;;
IBM Lotus Symphony;1.3[16];Windows, Mac OS X, Linux;IBM Lotus Symphony;IBM;Proprietary;Yes;;Import only;
Ichitaro;2008[17];Windows, Linux;Standalone;JustSystems;Proprietary;Yes;;;
Jarte;3.0+[18][19];Windows;Standalone;Carolina Road Software;Proprietary;Yes;;Import only[20][21];
Kingsoft Office Writer;2009[22] 6.3.0.1733;Windows;Kingsoft Office;Kingsoft;Proprietary;Yes;;Import only beta support;
LibreOffice;All versions;Windows, OS X, Linux, Unix, Android;;The Document Foundation;MPL;Yes;Yes;;
Microsoft Office OneNote;2007;Windows;Microsoft Office;Microsoft;Proprietary;Yes;;Export only;
Microsoft Office Publisher;2013;Windows;Microsoft Office;Microsoft;Proprietary;Yes;;;
Microsoft Office Word;2013, 2011 for Mac;Windows, Mac OS X;Microsoft Office;Microsoft;Proprietary;Yes;Yes;;
Microsoft Office Mobile Word Mobile;6.1[23];Windows Mobile;Microsoft Office Mobile;Microsoft;Proprietary;Yes;;;
Microsoft Works Word Processor;9[24];Windows;Microsoft Works;Microsoft;Proprietary;Yes;Yes;;
NeoOffice Writer;2.2.1[25];Mac OS X;NeoOffice;Patrick Luby and Edward Peterlin;GPL;Yes;;;
Nisus Writer Pro;1.2[26];Mac OS X v10.4 or later;Standalone;Nisus Software, Inc.;Proprietary;Yes;;;
ONLYOFFICE;5.2[27];Web Application;ONLYOFFICE;Ascensio System SIA;Proprietary, AGPL;;;Yes;
OpenOffice Writer;3.0;Windows, Linux, Unix, Mac OS X;OpenOffice.org;Apache OpenOffice;LGPL;Yes;;Import only;
OpenXML Writer;1.0[28];Windows;Standalone;OpenXML.biz;Ms-RL;Yes;;;
Pages;'08[29];Mac OS X;iWork;Apple Inc.;Proprietary;Yes;;;
StarOffice Writer;9[30];Windows, Linux, Solaris;StarOffice;Sun Microsystems;Proprietary;Yes;;Import only[31];
TextEdit;starting with Mac OS X v10.5[32];Mac OS X;Standalone;Apple Inc.;BSD 3-clause;Yes;;Bundled with Mac OS X, which yields limited support;
TextMaker;2010;Windows, Linux, Windows Mobile, Windows CE, Android;SoftMaker Office;SoftMaker Software GmbH;Proprietary;Yes;;;
Thinkfree Office Write;[33];Windows, Mac OS X, Linux;Thinkfree Office;ThinkFree Corp;Proprietary;Yes;;;
WordPerfect;X4 (2008)[34];Windows;Corel WordPerfect Office X4;Corel;Proprietary;Yes;;Import only;
Zoho Writer;(current);Web application;Zoho Office Suite;AdventNet Inc.;Proprietary;Yes;;;
;Version;Operating systems;Office suite;Developer;License;ECMA-376;ISO/IEC 29500:2008;Notes;
