Model;Code name;Fab (nm);Bus interface;Core clock (MHz);Shader clock (MHz);Memory clock (MHz);Core config1*;Fillrate;Memory;Processing power (GFLOPS)[155][156];Supported API version;TDP (Watts);Notes;
Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Single precision;Double precision;Direct3D;OpenGL;
Quadro FX 500;NV34GL;150;AGP 8×;270;270;480;1:2:2:2 *:4:4:4;1.08;1.08;128;7.687;DDR;128;;;9.0;2.0;;Stereo display;
Quadro FX 600;NV34GL;150;PCI;350;350;800;1:2:2:2 *:4:4:4;1;1;256;7.8;DDR;128;;;9.0;2.0;;Stereo display;
Quadro FX 700;NV35GL;150;AGP 8×;275;275;275;1:2:2:2 *:4:4:4;1.1;1.1;128;4.4;DDR;128;;;9.0;2.0;;Stereo display;
Quadro FX 1000;NV30GL;130;AGP 8×;300;300;300;2:4:8:8;2.4;2.4;128;9.6;DDR2;128;;;9.0;2.0;;Stereo display;
Quadro FX 1100;NV36GL;130;AGP 8×;425;425;325;3:2:2:2 *:4:4:4;1.7;1.7;256;5.2;DDR2;128;;;9.0;2.0;;Stereo display;
Quadro FX 2000;NV30GL;130;AGP 8×;400;400;800;2:4:8:8;3.2;3.2;128;12.8;DDR2;128;;;9.0;2.0;;Stereo display;
Quadro FX 3000;NV35GL;130;AGP 8×;400;400;850;3:4:8:8;3.2;3.2;256;27.2;DDR;256;;;9.0;2.0;;Stereo display;
Quadro FX 3000G;NV35GL;130;AGP 8×;400;400;850;3:4:8:8;3.2;3.2;256;27.2;DDR;256;;;9.0;2.0;;Stereo display, Genlock;
Quadro FX 4000;NV40GL;130;AGP 8×;375;375;1000;5:12:12:8;3;4.5;256;32.0;GDDR3;256;;;9.0c;2.1;142;Stereo display;
Quadro FX 4000 SDI;NV40GL;130;AGP 8×;375;375;1000;5:12:12:8;3;4.5;256;32.0;GDDR3;256;;;9.0c;2.1;;Stereo display, Genlock;
