Name;Panorama leveling;Vignetting correction;Lens distortion correcting;White balance correction;Exposure correction;Viewpoint adjustment;Notes;
Panoweaver Standard / Professional[8];Yes;Yes;Yes;Yes;Yes;Yes;;
Dermandar;Yes;No;Yes;No;Yes;No;;
i2Align Quickage Express / Pro[9];Yes;?;Yes;?;Yes;No;;
Pixtra PanoStitcher[10];Yes;Yes;Yes;No;Yes;No;Also chromatic aberration correction if correction parameters provided;
Pixtra OmniStitcher;Yes;Yes;Yes;No;Yes;No;Also chromatic aberration correction if correction parameters provided;
QuickPHOTO;No;Yes;No;Yes;Yes;No;;
PhotoFit Harmony / Premium[11];Yes;?;Yes;Yes;?;No;;
PanoramaPlus X4[12];Yes;?;?;?;?;No;;
PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro;?;?;?;?;?;No;;
360 Panorama Professional;?;?;?;?;?;No;;
VRstitcher Fisheye Pro[13];Yes;?;Yes;?;?;No;;
COOL 360;?;?;?;?;?;No;;
PanaVue ImageAssembler Std. / Pro. / Ent.[14];Yes;?;Yes;Yes;?;No;;
The Panorama Factory v5[15];?;Yes;Yes;?;?;No;;
PixMaker Lite / Home / Business;?;?;?;?;?;No;;
PTAssembler[16];Yes;Yes;Yes;Yes;Yes;No;;
PTgui / PTgui Pro;Yes;Yes;Yes;Yes;Yes;Yes[17];;
Autopano Pro / Giga / Server;Yes;Yes;Yes;Yes;Yes;Yes*[18];(*) Giga only.;
Autostitch;Yes;No;No;No;No;No;;
Calico Panorama;Yes;?;?;?;?;No;;
Hugin;Yes;Yes;Yes;Yes;Yes;Yes[19];;
3DVista Stitcher 3.0;?;?;?;?;?;No;;
D Joiner[20];No;No;No;No;No;No;;
Panorama Maker 6;?;?;?;?;?;No;;
Photovista Panorama[21];No;No;No;No;No;No;;
PanoramaStudio / Pro [22];Yes;Yes;Yes;?;Yes;No;;
Stitcher Unlimited 2009;?;?;?;Yes;?;No;;
ADG Panorama Tools / Pro;Yes;?;?;Yes;?;No;;
Panorama Composer 3[23];Yes;?;?;?;?;No;;
Image Composite Editor;Yes;Yes;Yes;No;Yes;No;;
Panorama Perfect[24];Yes;Yes;?;Yes;Yes;No;;
Photoshop;Yes;Yes;Yes;Yes;Yes;No;;
AIPR Lite 1;No;Yes*;Yes;No;No;No;(*) color mapping about the seams greatly mitigates the effects of vignetting;
Gigapan Stitch 1.0;No;No;Yes;No;No;No;
PanoramaMaker;Yes;?;Yes;?;Yes;No;
Panorama Stitcher;Yes;Yes;Yes*;No;Yes;Yes;(*) Only for rectilinear lenses;
SharpStitch;Yes;Yes;No;Yes;Yes;Yes;;
Pano2VR / Pano2VR pro[25];Yes;No;No;No;No;Yes;;
Name;Panorama leveling;Vignetting correction;Lens distortion correcting;White balance correction;Exposure correction;Viewpoint adjustment;Notes;
