;Modeling;3D Painting;Animation;Rendering;3D Tracking;Compositing;
3ds Max;Yes;Yes;Yes;Yes;Autodesk MatchMover;Some;
AC3D;Yes;?;?;No;No;No;
Blender;Yes;Yes;Yes;Yes;Yes;Yes;
Electric Image Animation System;dropped[6];?;Yes;Yes;No;?;
Cinema 4D;Yes;Yes;Yes;Yes;R16 or later;No;
Clara.io;Yes;?;Yes;Yes;No;?;
Cobalt;Yes;?;Yes;Yes;No;?;
HiCAD;Yes;Yes;Yes;Yes;No;No;
Houdini;Yes;No;Yes;Yes;No;Yes;
IClone;Yes;?;Yes;Yes;?;?;
Lightwave 3D;Yes;No;Yes;Yes;No;No;
MakeHuman;parameter-based;No;No;No;No;No;
Maya;Yes;Yes;Yes;Yes;Autodesk MatchMover;Autodesk Composite;
Metasequoia;Yes;No;No;Yes;No;No;
Modo;Yes;Yes;Yes;Yes;No;No;
Remo 3D;Yes;No;Yes;Yes;No;No;
Shade;Yes;No;Yes;Yes;No;No;
Softimage;Yes;3.7 or later;Yes;Yes;No;Yes;
Solid Edge;Yes;?;Yes;Yes;No;?;
SketchUp Make;Yes[7][8];?;Yes[7];Yes[7];No;No;
SketchUp Pro;Yes[7][8];?;Yes[7];Yes[7];No;No;
Wings3D;Yes;?;No;Yes;No;?;
