Audio player;Windows;OS X;Linux;iOS;Android;BSD Unix;Solaris;Other Unix;DOS;
AIMP;Yes;No;via Wine;No;Yes;No;No;No;No;
Amarok;Yes;beta;Yes;No;No;Yes;Yes;Yes;No;
aTunes;Yes;Yes;Yes;No;No;Yes;Yes;No;No;
Audacious;Yes;No;Yes;No;No;Yes;Yes;Yes;No;
Audion;No;Yes;No;No;No;No;No;No;No;
Banshee;alpha;beta;Yes;No;No;Yes;No;No;No;
cmus;No;Yes;Yes;No;No;Yes;Yes;Yes;No;
Cog;No;Yes;No;No;No;No;No;No;No;
Clementine;Yes;Yes;Yes;No;remote controller only;Yes;Yes;Yes;No;
Ecoute;No;Yes;No;Yes;No;No;No;No;No;
Exaile;Yes;No;Yes;No;No;Yes;No;No;No;
foobar2000;Yes;beta[osnotes 1];via Wine[osnotes 2];Yes;Yes;No;No;No;No;
Guayadeque Music Player;No;Yes;Yes;Yes;No;No;No;No;No;
Groove Music;Yes;No;No;No;No;No;No;No;No;
iTunes;Yes;Yes;No;Yes;No;No;No;No;No;
JRiver Media Center;Yes;Yes;Yes;No;No;No;No;No;No;
MediaMonkey;Yes;No;No;No;Yes;No;No;No;No;
MPXPLAY;Yes;No;No;No;No;No;No;No;Yes;
Music Player Daemon;cygwin;Yes;Yes;No;No;Yes;Yes;Yes;No;
MusicBee;Yes;No;Partial[17];No;No;No;No;No;No;
Musicmatch Jukebox;Yes;No;No;No;No;No;No;No;No;
musikCube;Yes;No;No;No;No;No;No;No;No;
Quod Libet;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;
Rdio;Yes;Yes;No;Yes;Yes;No;No;No;No;
Rhapsody;Yes;No;Yes;Yes;Yes;No;No;No;No;
Rhythmbox;No;No;Yes;No;No;Yes;Yes;Yes;No;
Songbird;Yes;Yes;No;No;Yes;No;No;No;No;
Sonique;Yes;No;No;No;No;No;No;No;No;
Spotify;Yes;Yes;Yes;Yes;Yes;No;No;No;No;
Style Jukebox;Yes;No;No;Yes;Yes;No;No;No;No;
Winamp;Yes;Yes;No;No;Yes;No;No;No;No;
XMMS;No;Yes;Yes;No;No;Yes;Yes;Yes;No;
XMPlay;Yes;No;No;No;No;No;No;No;No;
Zinf;Yes;No;Yes;No;No;Yes;Yes;Yes;No;
Audio player;Windows;OS X;Linux;iOS;Android;BSD Unix;Solaris;Other Unix;DOS;
