Distribution;Compile time buffer checks;Mandatory access control;Software executable space protection;grsecurity;RSBAC;
Alpine Linux;Yes[163];Unknown;PaX;Discontinued in 3.8.0;Unknown;
BLAG;Unknown;Unknown;Unknown;Unknown;Unknown;
Debian/Ubuntu;Yes;SELinux, AppArmor;PaX optional;Optional;Optional;
Dragora GNU/Linux-Libre;Unknown;Unknown;Unknown;Unknown;Unknown;
dyne:bolic;Unknown;Unknown;Unknown;Unknown;Unknown;
Fedora;Yes;SELinux[164];Exec Shield[165];No;No;
Gentoo;Optional;SELinux, AppArmor;PaX optional;Optional;Optional;
gNewSense;Unknown;SELinux, AppArmor[f];Unknown;Unknown;Unknown;
Guix System Distribution;Unknown;Unknown;Unknown;Unknown;Unknown;
LibreCMC;Unknown;Unknown;Unknown;Unknown;Unknown;
Mandriva;Unknown;AppArmor;Unknown;Unknown;Yes;
Musix GNU+Linux;Unknown;Unknown;Unknown;Unknown;Unknown;
Parabola GNU/Linux-libre;Unknown;Optional[166];Unknown;Optional[166];Unknown;
SUSE Linux;Yes;AppArmor[167];Hardware NX and other methods in mainline kernel and toolchain[168];No;No;
Solus;Yes;AppArmor;Unknown;No;Unknown;
Tor-ramdisk;Unknown;Unknown;PaX;Yes;No;
Trisquel;Unknown;SELinux, AppArmor[g];Unknown;Unknown;Unknown;
Ututo;Unknown;Unknown;Unknown;Unknown;Unknown;
