;ZIP;TAR;GZ;BZ/BZ2;7z;xz;RAR;LHA/LZH;ACE;SIT;SITX;ARJ;KGB;DAR;ARC;CAB;ALZ;ISO/CD Image;ZPAQ;
7-Zip;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No[1];No;No;Yes;No;No;No;Yes;No;Yes;No;
ALZip;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;Yes;Yes;No;
Archive Manager;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;
Archive Utility;Yes;Yes;Yes;Yes;No;Unknown;No;No;No;No;No;No;No;No;No;No;No;No[7];No;
Ark;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;
B1 Free Archiver;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No[11];No;No;No;Yes;Yes;Yes;No;
BetterZip;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;
bsdtar/libarchive;Yes;Yes;Yes[10];Yes[10];Yes;Yes[10];Yes;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;
cpio;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
Commander One;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;
CRAX Commander;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;
Disk ARchiver;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;
Filzip;Yes;Yes;Yes;No;No;Unknown;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;No;No;
FreeArc;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Yes;No[1];No;No;Yes;No;No;No[12];Yes;No;Yes;No;
GNU tar[2];No[2];Yes;Yes[2];Yes[2];No[3];Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;
iArchiver;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;No;No;
Info-ZIP;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
KGB Archiver;Yes;No;No;No;No;Unknown;No;No;No;No;No;No;Yes;No;No;No;No;No;No;
PeaZip;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;Yes;Yes;
PKZIP;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Yes;No;No;No;Yes;No;No;Yes;Yes;Yes;Yes;No;
PowerArchiver;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;Yes;Yes;
Star[2];No[2];Yes;Yes[2];Yes[2];Yes[2];Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;
StuffIt;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;
The Unarchiver;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial;Yes;Partial[11];Yes;No;No;Yes;Yes;Yes;Yes;No;
TUGZip;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;Yes;No;
WinAce;Yes;Yes;Yes;No;No;Unknown;Yes;Yes;Yes;No;No;Yes;No;No;Yes;No;No;Yes;No;
WinRAR;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;No;Yes;No;
WinZip;Yes;Yes;Yes;Yes;Yes;Unknown;Yes[4];Yes;No;No;No;Yes[5];No;No;Yes[5];Yes;No;Yes;No;
XAD;Yes;Yes;Yes;Yes;No;Unknown;Yes;Yes;Partial;Yes;No;No;No;No;Yes;Yes;Yes;Yes;No;
Xarchiver;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Yes;No;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;
ZipGenius;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Yes[10];Yes;No;No;Yes[10];No;No;Yes;Yes;No;Yes;No;
;ZIP;TAR;GZ;BZ/BZ2;7z;xz;RAR;LHA/LZH;ACE;SIT;SITX;ARJ;KGB;DAR;ARC;CAB;ALZ;ISO/CD Image;ZPAQ;
