;HTML catalog;Meta tagging;RSS feeds;SEO URLs;Site map, XML;GoodRelations RDFa;
Apache OFBiz;Yes;Yes;No;Yes;Yes;No;
Batavi;Yes;Yes;No;Yes;No;No;
Bigcommerce;Yes;Yes;Yes;Yes;Yes;No;
Drupal Commerce;Yes;Yes;Yes;Yes;Yes;Yes;
KonaKart;Yes;Yes;Yes;Yes;No;No;
LemonStand;?;?;?;?;?;?;
Magento;Yes;Yes;Yes;Yes[33];Yes;No;
nopCommerce;Yes;Yes;Yes;Yes;Yes;No;
osCommerce;No;No;free add-on;Yes;free add-on;Yes;
pimcore;Yes;Yes;Yes;Yes;Yes;Yes;
PrestaShop;Yes;Yes;Yes;Yes;Yes;Yes;
Sana Commerce;Yes;Yes;No;Yes;Yes;No;
Shopify;Yes;Yes;Yes;Yes;Yes;Yes - added manually;
SupaDupa;Yes;Yes;No;Yes;Yes;No;
Virto Commerce;Yes;Yes;No;Yes;Yes;No;
WooCommerce;Yes;Yes;Yes;Yes;Yes;Yes;
Zen Cart;free add-on, printable price list;Yes;free add-on[34];free add-on;free add-on;No;
;HTML catalog;Meta tagging;RSS feeds;SEO URLs;Site map, XML;GoodRelations RDFa;
