Client;Website;Initial Release;Current Stable Version;Mod Based On;
eDonkey2000;None[N 12];September 6, 2000; 18 years ago (2000-09-06);1.4.6 (2006; 12 years ago (2006));-;
aMule;[1];September 2003; 15 years ago (2003-09);2.3.2 (September 16, 2016; 2 years ago (2016-09-16)[6]) [±];-;
eMule;Official;[2];May 13, 2002; 16 years ago (2002-05-13);0.50a (April 7, 2010; 8 years ago (2010-04-07)[7]) [±];-;
Osp;[3];January 29, 2012; 6 years ago (2012-01-29);0.23 (April 2, 2012; 6 years ago (2012-04-02));Official 0.50a;
AnalyZZUL;[4];May 13, 2008; 10 years ago (2008-05-13);3.0 (February 24, 2009; 9 years ago (2009-02-24));eMule 0.49c ZZUL;
beba;[5];June 3, 2005; 13 years ago (2005-06-03);2.72 (July 8, 2013; 5 years ago (2013-07-08));Official 0.50a;
DreaMule;[6];2005; 13 years ago (2005);v3.2 (July 21, 2008; 10 years ago (2008-07-21));-;
Magic Angel;[7];February 21, 2006; 12 years ago (2006-02-21);4.0 (February 13, 2011; 7 years ago (2011-02-13));eMule 0.50a MorphXT 12.6;
Mephisto;[8];October 18, 2007; 11 years ago (2007-10-18);3.0 (April 10, 2011; 7 years ago (2011-04-10));eMule 0.50a ScarAngel 4.0;
MorphXT;[9];January 23, 2003; 15 years ago (2003-01-23);12.7 (November 21, 2012; 6 years ago (2012-11-21)) [±];Official 0.50a;
NeoMule;[10];February 22, 2004; 14 years ago (2004-02-22);4.50 (March 27, 2013; 5 years ago (2013-03-27)) [±];Official 0.49b;
ScarAngel;[11];April 2, 2005; 13 years ago (2005-04-02);4.2 (June 22, 2011; 7 years ago (2011-06-22));eMule 0.50a Xtreme 8.1;
SharkX;[12];?;2.0 (February 18, 2011; 7 years ago (2011-02-18)[8]) [±];eMule 0.49c AcKroNiC 5.4;
Sivka;[13];?;19b1 (January 22, 2009; 9 years ago (2009-01-22)[9]) [±];Official 0.49b;
Spike2;[14];?;1.2 (September 19, 2007; 11 years ago (2007-09-19)[10]) [±];Official 0.48a;
StulleMule;[15];April 22, 2005; 13 years ago (2005-04-22);7.0 (December 25, 2010; 7 years ago (2010-12-25));eMule 0.50a MorphXT 12.6;
Xtreme;[16];2004; 14 years ago (2004);8.1 (March 4, 2011; 7 years ago (2011-03-04)[11]) [±];Official 0.50a;
X-Ray;[17];December 23, 2006; 11 years ago (2006-12-23);1.7 (July 18, 2009; 9 years ago (2009-07-18));Official 0.49c;
ZZUL;[18];?;20090222-2320 (February 22, 2009; 9 years ago (2009-02-22));Official 0.49c;
ZZUL BastarD;[19];November 28, 2004; 14 years ago (2004-11-28);1.9.10 (November 9, 2009; 9 years ago (2009-11-09));eMule 0.49c ZZUL;
eMule Plus;[20];October 2002; 16 years ago (2002-10);1.2e (April 18, 2009; 9 years ago (2009-04-18)[12]) [±];Old official eMule + own code;
iMule;www.imule.i2p[13];2003; 15 years ago (2003);2.3.3.3 (June 1, 2016 (2016-06-01)) [±];aMule;
JMule;[21];September 21, 2002; 16 years ago (2002-09-21);0.5.8 (January 13, 2010; 8 years ago (2010-01-13)[14]) [±];-;
Jubster;None[N 13];?;3.1.0 (October 30, 2005; 13 years ago (2005-10-30)) [±];-;
LMule;[22];January 2003; 15 years ago (2003-01);1.2.1 (April 27, 2003; 15 years ago (2003-04-27)) [±];-;
Lphant;None[N 14];2006; 12 years ago (2006);3.51 (March 3, 2009; 9 years ago (2009-03-03)) [±];-;
MLDonkey;[23];January 23, 2003; 15 years ago (2003-01-23);3.1.5 (March 22, 2014; 4 years ago (2014-03-22)[15]) [±];-;
Morpheus;None[N 15];2001; 17 years ago (2001);5.55.1 (November 15, 2007; 11 years ago (2007-11-15)) [±];-;
Shareaza;[24];2002; 16 years ago (2002);2.7.10.2 (September 18, 2017; 14 months ago (2017-09-18)[16]) [±];-;
xMule;[25];June 2003; 15 years ago (2003-06);1.13.7 RC1 (September 11, 2006; 12 years ago (2006-09-11)[17]) [±];-;
Client;Website;Initial Release;Current Stable Version;Mod Based On;
