Model;Features;
Scalable Link Interface (SLI);3-Way SLI;PureVideo HD with VP1;PureVideo 2 with VP2, BSP Engine, and AES128 Engine;PureVideo 3 with VP3, BSP Engine, and AES128 Engine;PureVideo 4 with VP4;Compute ability;
GeForce 8300 GS (G86);{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes|1.1}};
GeForce 8400 GS Rev. 2 (G98);{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes|1.1}};
GeForce 8400 GS Rev. 3 (GT218);{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes|1.2}};
GeForce 8500 GT;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes|1.1}};
GeForce 8600 GT;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes|1.1}};
GeForce 8600 GTS;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes|1.1}};
GeForce 8800 GS (G92);{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes|1.1}};
GeForce 8800 GTS (G80);{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no|1.0}};
GeForce 8800 GTS Rev. 2 (G80);{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no|1.0}};
GeForce 8800 GT (G92);{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes|1.1}};
GeForce 8800 GTS (G92);{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes|1.1}};
GeForce 8800 GTX;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no|1.0}};
GeForce 8800 Ultra;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no|1.0}};
