;Austria;Belgium;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia & Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland & Liechtenstein;Turkey;Ukraine;United Kingdom;
Give Way ahead;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stop ahead;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic signals ahead;;;;;;;;;;;;;or;;;;;;;;;;;;;;;;
Roundabout ahead;;NOT USED;;;;;;NOT USED;;;;or;;;;;;;;;;;;;REPLACED by sign no. 4.54 [14];;;;
Two-way traffic ahead;;;;;or;;;;;;;or;;;;;;;;;;;;;;;;or;
Traffic queues likely ahead;;;;;;;;;;;NOT USED;;;;;;;;;;;;;;;;;;
Level crossing without barriers ahead;;;;;;;;;;;NOT USED;;;;;;;;;;;;;;;;;;
Level crossing with barriers ahead;;;;;;;;[15];;;NOT USED;or;;;;;;;;;;;;;;;;;
Level crossing;;;;;;;;;;;NOT USED;NOT USED;;;;;;;;;;;;;;;;(no gates);
Level crossing (multiple tracks);;;;;;;;NOT USED;;;NOT USED;NOT USED;;;;;;;;;;;;;DEPRE- CATED;;;NOT USED;
;Austria;Belgium;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia & Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland & Liechtenstein;Turkey;Ukraine;United Kingdom;
Tram crossing;;;;;;;;;;;NOT USED;;;;;;;;;;;;;;;;;;
Crossroads with priority to the right;;;;;;;;;;;;NOT USED;;;[16];;;;;;;;;;;;;NOT USED [17];
Crossroads with a minor road;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Junction with a minor side road;;;;;;;NOT USED;NOT USED;;;;;;;;;;;;;;;;;DISUSED;;;;
Merging traffic;NOT USED;NOT USED;NOT USED;NOT USED;NOT USED;;NOT USED;NOT USED;;;;;;;NOT USED;NOT USED;;;NOT USED;;NOT USED;;;;DISUSED;NOT USED;NOT USED;;
Road narrows on both sides;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Road narrows on right (left);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dangerous crosswinds;;;;;;;;;;;;;;;;;;;;;;or;;;DEPRE- CATED;;;;
Low-flying aircraft;;;;or;;;;;;;;;;;;;;;;;;;;or;DEPRE- CATED;;;or;
Steep descent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steep ascent;;;;;;;NOT USED;;;;;;;;;;;;;;;;;;;;;;
;Austria;Belgium;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia & Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland & Liechtenstein;Turkey;Ukraine;United Kingdom;
Road bump ahead;;;;;;;;NOT USED;;;;;;;;;;;;;;;;;;;;;
Uneven road ahead;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Double curve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Slippery road surface;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Loose road surface;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soft verges or dangerous shoulder;;NOT USED;;;;;NOT USED;;;;;;;;;;;;;;;;;;NOT USED;;;;
Children;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedestrian crossing ahead;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cyclists;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Falling rocks or debris;;;;;;;;;;;;;;;NOT USED;;;;;;;;;;;;;;
;Austria;Belgium;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia & Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland & Liechtenstein;Turkey;Ukraine;United Kingdom;
Caution, snow or ice;;;;;;NOT USED;NOT USED;or;;;;;;;;;;;;(Belarus);;;;;[18];;;;
Caution, fog likely;;;;;;NOT USED;NOT USED;;;;;;;;;;NOT USED;;;NOT USED;;;;;[19];;;NOT USED;
Opening or swing bridge;;;;;NOT USED;;;;;;NOT USED;;;;;;;;;;;;;;NOT USED;;;;
Unprotected quayside or riverbank;;;NOT USED;;;;;;;or;;;;;;;;;;;;;;;NOT USED;;;or;
Domestic animals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wild animals;;;;;;or;;;;;;;;;;;;;;;;;;;;;;;
Tunnel ahead;NOT USED;NOT USED;;;NOT USED;NOT USED;NOT USED;NOT USED;;;;;NOT USED;NOT USED;NOT USED;;NOT USED;;;;;;NOT USED;;REPLACED by sign no. 4.07a [20][21];;;;
Accident area / accident ahead;NOT USED;NOT USED;;NOT USED;;NOT USED;;;NOT USED;;NOT USED;;;;;;;;;(Belarus);;;;;[22];NOT USED;;;
Roadworks ahead;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Other danger;;;;;;or (Åland);;;;;;;;;;;;;;;;;;;;;;;
Other danger (temporary);NOT USED;NOT USED;NOT USED;NOT USED;;NOT USED;;NOT USED;;NOT USED;NOT USED;NOT USED;;NOT USED;NOT USED;;NOT USED;NOT USED;NOT USED;NOT USED;;NOT USED;;NOT USED;NOT USED;;NOT USED;NOT USED;
;Austria;Belgium;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia & Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland & Liechtenstein;Turkey;Ukraine;United Kingdom;
