Shell;String processing;Alternation (Brace expansion);Pattern matching (regular expressions built-in);Pattern matching (filename globbing);Globbing qualifiers (filename generation based on file attributes);Recursive globbing (generating files from any level of subdirectories);
Bourne shell 1977 version;?;{{no}};{{no}};{{yes|Yes (*, ?, […])}};{{no}};{{no}};
Bourne shell recent version;{{partial}} (prefix and suffix stripping in variable expansion);{{no}};{{no}};{{yes|Yes (*, ?, […])}};{{no}};{{no}};
POSIX shell;{{partial}} (prefix and suffix stripping in variable expansion);{{no}};{{no}};{{yes|Yes (*, ?, […])}};{{no}};{{no}};
bash (v4.0);{{partial}} (prefix and suffix stripping in variable expansion);{{yes}};{{yes}};{{yes|Yes (*, ?, […], {…})}};{{no}};{{yes}} (**/...);
csh;{{yes|Yes (:s and other editing operators)}};{{yes}};{{no}};{{yes}};{{no}};{{no}};
tcsh;{{yes|Yes (:s and other editing operators)}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Hamilton C shell;{{yes|Yes (:s and other editing operators + substr, strlen, strindex, printf, reverse, upper, lower, concat and other builtin functions)}};{{yes}};{{no}};{{yes}};{{no}};{{yes|Yes (via indefinite directory "..." wildcard[61])}};
Scsh;?;?;{{yes}};{{yes}};{{no}};{{no}};
ksh (ksh93t+);{{partial}} (prefix, suffix stripping and string replacement in variable expansion);{{yes}}[62];{{yes}};{{yes|Yes (*, ?, […])}};{{no}};{{yes}} (with set -G, no following of symlinks);
pdksh;?;{{yes}}[62];{{no}};{{yes}};{{no}};{{no}};
zsh;{{yes}} (through variable processing: e.g. substring extraction, various transformations via parameter expansion);{{yes}};{{yes}};{{yes|Yes (*, ?, […], extended globbing[63])}};{{yes}};{{yes}} (**/... or ***/... to follow symlinks);
ash;?;?;{{no}};{{yes}};{{no}};{{no}};
CCP;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
COMMAND.COM;{{no}};{{no}};{{no}};{{yes|Yes (*, ?)}};{{no}};{{no}};
OS/2 CMD.EXE;{{no}};{{no}};{{no}};{{yes|Yes (*, ?)}};{{partial}} (only in DIR /A:… command);{{no}};
Windows CMD.EXE;{{partial}} (only through FOR /F and SET /A);{{no}};{{no|No[64]}};{{yes|Yes (*, ?)}};{{partial}} (only in DIR /A:… command);{{yes}} (via FOR /R command, or, where available, indirectly via /S subdir option);
4DOS;{{yes}} (through variable functions %@…[], extended environment variable processing, various string commands and FOR /F and SET /A);{{no}};{{no}};{{yes|Yes (*, ?, […], extended wildcards, SELECT popup command)}};{{yes}} (via /A:… attribute and /I"…" description options and /[S…] size, /[T…] time, /[D…] date, and /[!…] file exclusion ranges);{{yes}} (via FOR /R command, or indirectly via GLOBAL command or, where available, /S subdir option);
4OS2;?;{{no}};{{no}};?;?;?;
TCC (formerly 4NT);{{yes}} (through variable functions %@…[], extended environment variable processing, various string commands and FOR /F and SET /A);{{no}};{{yes}};{{yes|Yes (*, ?, […], extended wildcards, SELECT popup command)}};{{yes}} (via /A:… attribute and /I"…" description options and /[S…] size, /[T…] time, /[D…] date, /[O…] owner, and /[!…] file exclusion ranges);{{yes}} (via FOR /R command, or indirectly via GLOBAL command or, where available, /S subdir option);
PowerShell;{{yes|Yes (Concat/Substring/Insert/Remove/Replace, ToLower/ToUpper, Trim/TrimStart/TrimEnd, Compare, Contains/StartsWith/EndWith, Format, IndexOf/LastIndexOf, Pad/PadLeft/PadRight, Split/Join, regular expression functions and other .NET string functions)}};{{no}};{{yes|Yes (full regex support)[65]}};{{yes|Yes (*, ?, […])}};?;?;
rc;?;?;{{no}};{{yes}};{{no}};{{no}};
BeanShell;?;?;{{yes}};?;?;?;
VMS DCL;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}} (via [SUBDIR…]);
fish;{{no}};{{yes|Yes}};{{no}};{{yes|Yes (*, ?, {…})}};{{no}};{{yes}} (**/...);
