Name;MP3;FairPlay;ALAC;AAC;WMA-DRM;WMA Lossless;WMA;WAV;Audible;Ogg Vorbis;FLAC;Others;
Archos 105;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Archos 405;{{yes}};{{no}};{{no}};{{yes2}}No[90];{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes2}}AC3[90];
Archos 5;{{yes}};{{no}};{{no}};{{yes2}}No[90];{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes2}}AC3[90];
Archos 605 WiFi / GPS;{{yes}};{{no}};{{no}};{{yes2}}No[90];{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes2}}AC3[90];
Archos 705 WiFi;{{yes}};{{no}};{{no}};{{yes2}}No[90];{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes2}}AC3[90];
Cowon A3;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes|APE, MPC, PCM, TTA, WV}};
Cowon D2;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|APE}};
Cowon Q5W;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes|APE, MPC}};
Gigabeat T-Series;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
GP2X F-200;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes2}}No[91];{{no}};{{no}};{{yes}};{{yes2}}No[92];{{yes2}}APE, MP2, MPC,[92] TTA, WV[93];
iPod;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes|AIFF}};
iriver clix 2G;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
PSP Slim & Lite;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes|ATRAC}};
Samsung Galaxy Player;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
Samsung T10;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};
Samsung P2;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};
Sansa Fuze;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{Unk}};
Sansa Fuze+;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{Unk}};
Walkman NWZ-A810 series;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
ZEN;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
ZEN Vision W;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes2}} No[94];{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Zune;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{Yes|WMA Pro Stereo}};
ZVUE 260;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes|MP2}};
! MP3;AAC-DRM;ALAC;AAC;WMA-DRM;WMA Lossless;WMA;WAV;Audible;Ogg Vorbis;FLAC;Others;
