Name;Vendor;License;Transactional;Under active development;
Archive;Oracle;GPL;{{No}};{{Yes}};
Aria;MariaDB;GPL;{{No}};{{Yes}};
Berkeley DB;Oracle;AGPLv3;{{dunno}};{{No}};
BlitzDB;{{dunno}};GPL;{{No}};{{Yes}};
CONNECT;MariaDB;GPL;{{dunno}};{{Yes}};
CSV;Oracle;GPL;{{No}};{{Yes}};
DeepSQL;Deep Information Sciences;Custom Proprietary;{{Yes}};{{Yes}};
Falcon;Oracle;GPL;{{Yes}};{{No}};
InfiniDB;Calpont;GPL;{{Yes}};{{Yes}};
InnoDB;Oracle;GPL;{{Yes}};{{Yes}};
MyISAM;Oracle;GPL;{{No}};{{No}};
NDB;Oracle;GPLv2;{{Yes}};{{Yes}};
TokuDB;TokuTek;Modified GPL;{{Yes}};{{Yes}};
WiredTiger;WiredTiger;GPL;{{Yes}};{{Yes}};
XtraDB;Percona;GPL;{{Yes}};{{Yes}};
Federated;Oracle;GPL;{{dunno}};{{No}};
FederatedX;MariaDB;GPL;{{dunno}};{{Yes}};
CassandraSE;MariaDB;GPL;{{No}};{{No}};
sequence;MariaDB;GPL;{{Yes}};{{Yes}};
mroonga;MariaDB;GPL;{{dunno}};{{Yes}};
SphinxSE;Sphinx Technologies;GPL;{{No}};{{Yes}};
MyRocks;Facebook;GPLv2;{{Yes}};{{Yes}};
MyMax;CEICOM Solutions;Custom Proprietary;{{Yes}};{{Yes}};
