Package;Programming Language;First public release date (YYYY-MM-DD);Latest stable release;Stable release date (YYYY-MM-DD);Development Status;Database;Supported languages;
Acumatica;C#, C++;2009-01-01;17.200.0401;2017-10-06;5 - Production / Stable;Microsoft SQL, MySQL;+100: UNICODE: English, Spanish, French, Chinese, Japanese, Malay, Khmer, Thai ...;
Adempiere;J2EE, JBoss;2006-10-12;3.8.0LTS;2015-01-02;5 - Production / Stable;Oracle, PostgreSQL;+10: English, Spanish, French, ...;
Apache OFBiz;Java, XML, FreeMarker, Groovy, Javascript;?;16.11.04;2018-01-02;5 - Production / Stable;Apache Derby, MSSQL, MySQL, Oracle, PostgreSQL;Multilingual;
CGram Software;C, Java;1982;5.0.0;2009-08-01;5 - Production / Stable;PostgreSQL;English;
Compiere;J2EE, JBoss;2001-06-08;3.8.9;2016-09-13;5 - Production / Stable;Oracle, Advance Server, MS SQL, PostgreSQL;+10: English, Germany, Spanish, French, Indonesia,...;
GnuCash;C 80%, Scheme / Lisp 13%, Perl 7%?;1999-11-08 - Registered;3.0;2018-04-01;5 - Production / Stable;XML (Compressed), SQLite3, MySQL, PostgreSQL;software: 33 languages;[7] website: 8 languages;
GNU Enterprise;Python 100%;2002-06-28;1.4;2008-11-19;5 - Production / Stable;PostgreSQL 8.1+;2: English, German,;
JFire;J2EE, JBoss, Eclipse RCP, JDO;?;1.0.1;2010-03-20;?;MS SQL, Derby, ...;English, German, Thai, ...;
LedgerSMB;Perl;2006-09-06;1.5.20;2018-04-14;5 - Production / Stable;PostgreSQL 9.4+;+40:English development, Multilingual (.po files Gettext );
NewViews;C++, Tcl/Tk;1985;2.32.4;2018-06-22;5 - Production / Stable;Proprietary, Object Oriented;English;
Openbravo;J2EE, JBoss;2006;3.0.30460;2017-03-09;5 - Production / Stable;Oracle, PostgreSQL;English, German, Spanish (Spain), Spanish (Mexico), French, Italian, Dutch, Polish, Portuguese, Romanian, Russian, Chinese, Hebrew, Bulgarian, etc.;
SQL-Ledger;Perl;1999-01-29;3.2.4;2017-03-21;5 - Production / Stable;PostgreSQL;30: English, ...;
Tryton;Python;2008-11-17;4.2;2016-11-28;5 - Production / Stable;PostgreSQL, MySQL, SQLite;English, Bulgarian, Catalan, Czech, Dutch, French, German, Italian, Russian, Slovene, Spanish;
